Title,Content,Target Organization,Label 1,Label 2,Label 3,Label 4,Label 5
Sarah Polley's Book Recommendations,"Drive Your Plow Over the Bones of The Dead
by Olga Tokarczuk. I am an incredibly slow reader, but the tone and specificity of the world she creates in this book was something I couldnt leave behind until it was done. Also: All We Sawby Anne Michaels, Fight Nightby Miriam Toews, and The Summer Before the Darkby Doris Lessing.
Id like turned into a Netflix show:
by Amia Srinivasan. One of the most brain-shattering books Ive ever read. Her thinking is so electrically rigorous and fearless. (I double DARE them to make this into a Netflix show!)
...I last bought:
. I rediscovered her poetry lately, and I feel like I dont want to read anything else for a while. She owns desire and submerged things.
...has the greatest ending:
by J.D. Salinger. The last page always leaves me breathless. The intimacy and truth of that final page is so arresting and almost painful to read.
should be on every college syllabus:
by Anton Piatigorsky. A fascinating fictional account of the adolescence of dictators. It is painstakingly researched and so imaginative. He takes on whole histories through a small, specific, human lens.
...Ive re-read the most:
Gilead
by Marilynne Robinson. It reminds me of the wild depths of kindness humans are capable of. It helps me get to sleep when Im agitated. It is so incredibly gentle, complex, wise and hopeful. It gives me a glimpse into what faith can feel like.
...that holds the recipe to a favorite dish:
Marcella Hazans tomato butter onion sauce from Essentials of Classic Italian Cooking I discovered it when I was 17. No matter how much I cook, Ive never found anything that matches the pure magic of what these three simple ingredients do together.
Bonus question: If I could live in any library or bookstore in the world, it would be:",Franny's Farmacy,other,,,,
Denel staff get millions from attached bank account,"In the recently tabled National Budget, Denel has been allocated R3 billion to settle interest payments.
Reuters
Fourteen current and former employees of Denel were paid almost R4.7 million on Friday from an attached RMB bank account of thestate-owned arms manufacturer.
The group of employees had the bank account attached and frozen after Denel failed to comply with a court order to pay their unpaid or partially paid salaries dating back to May 2020.
Court documents told of the hardships of not being paid or only partially paid.
A group of 14 current and former employees of Denel were paid almost R4.7 million on Friday from an attached RMB bank account of thestate-owned arms manufacturer.
The group of employees had the bank account attached and frozen after Denel failed to comply with a court order to pay their unpaid or partially paid salaries dating back to May 2020.
The North Gauteng High Court in Pretoria
granted the order
in January this year. Denel did not oppose the application and was ordered to pay within 10 days, by 3 February because of the breach of its contractual obligations to pay its employees. 
Ipeleng Motshegoa of Ipeleng Motshegoa Attorneys in Pretoria, who represented the group, says amounts paid out to members of the group ranged from R200 000 to R600 000 and included accumulated interest. The R4.7 million was not divided equally, because various members of the group were owed different amounts by Denel.
Hardships
Court documents told of the hardships of not being paid or only partially paid. Some of the Denel employees were unable to pay their children's school fees, as well as their bond and car payments.
One former Denel employee, who was among the group of 14 who received payment from the attached Denel bank account, told Fin24 that she resigned in June last year to access part of her pension money to survive. ""Later, I had to live on hand-outs from friends after depleting my savings,"" the person said. Another told Fin24 that the payment was a huge relief, and meant he could support his family again.
Abdul Aziz Toffie, also one of the 14 recipients, told Fin24 on Tuesday that the money he received was for work he had done over a period of 25 months. He is still employed by Denel.
""It is such a relief. I can now hold on to my house and to my insurance and my dignity. I was going to lose everything at the end of March. Although I am ecstatic about getting paid, I am still sad for those colleagues who still have not been paid,"" said Toffie.
According to Motshegoa, his office has been approached by more former and current Denel employees who are still trying to get paid.
While courts orders have been granted against Denel for breach of employment contracts with their employees, the company is still continuing not to pay its employees their salaries in full or at all, said Motshegoa.""Our offices are now instructed by 34 Numsa member at Denel's Land Systems Division to enforce an order granted on 9 November 2021 by the Pretoria High Court against Denel for their breach of employment contracts with their employees. We are also taking instructions from 13 former and current Denel employees to take Denel to court for breach of contract.""
In the recently tabled National Budget, Denel was allocated R3 billion to settle interest payments. The JSE recently suspended Denels bonds after the group failed to make interest payments.
READ |
Our next job is to rebuild Denel, says Gordhan
Last year Denel's interim group CEO William Hlakoane told MPs the company's balance sheet showed it was technically insolvent, with a negative cash flow of around R600 million, and that it owed a total of over R600 million in unpaid salaries, as well as some R900 million to suppliers.
The arms manufacturer had been hit hard by state capture, with Denel awarding the Gupta-linked company VR Laser two contracts that ran into hundreds of millions of rands.
* Denel was asked for comment and if any is received this article will be updated.
We live in a world where facts and fiction get blurred
In times of uncertainty you need journalism you cantrust. For only R75 per month, you have access toa world of in-depth analyses, investigative journalism,top opinions and a range of features. Journalismstrengthens democracy. Invest in the future today.",Heat Relief,other,,,,
How to master productive pausing and get more done at work,"Shares
Take a break its good for you (Picture: Getty/Metro.co.uk)
Its tempting to think that the best way to get work done is to go at a breakneck speed; multi-taskingand cramming as much as possible into your day without a pause for breath.
If you
and rapidly tick off tasks until the end of the day, youre being super productive right?
Well, perhaps not.
Taking a break is actually an important part of getting stuff done. Its a way to fully focus, by taking a moment of rest between one to-do list item and another so you can move on feeling refreshed and ready.
Not all breaks are created equal, however. Rather than coming to a grinding halt and getting distracted by TikTok for 20 minutes in the middle of your working day, what you need to do is a productive pause.
What is a productive pause, you may ask?
Well, its exactly what it sounds like a pause thats designed to be super effective; one thats consciously made and spent fully detached from work.
Heres how embrace the art of productive pausing and make it a standard part of your day.
Take a moment to do nothing
Dont answer the phone, emails or texts immediately, happiness expert Julia Paulette Hollenbery tells Metro.co.uk. Allow yourself a moment to do nothing.
In the pause, scattered thoughts and attention gather. You are interrupting your automatic habits and bringing more self-awareness.
This new habit will help you be calm and focused.
Dont ignore your bodys needs
Ever told yourself youll go and get some water or nip to the toilet only once youve sent an email or finished a report?
Quit that its not doing you any good.
Julia says: Eat, drink, rest and go to the toilet when you need to. Give-in to the wise prompts of your body.
With the fuel of nourishment, you will think and function better. Without the distraction of ignoring the urge to go to the toilet, youll be more focused.
Multitasking doesnt work neither does trying to rush through life without pausing for breath (Picture: Getty/Metro.co.uk)
When youre stuck, step away
When stuck on an impossible task, instead of hunching over a laptop until it is done, forcing yourself to continue, take a break, recommends Julia. The break will help you access the innovative instinctual intelligence of your whole body.
Make a cuppa, take a shower, chat with colleagues.
Go outside
A brief change in scenery makes all the difference. Try stepping outside on your lunch break, or just popping outside for five minutes between Zoom meetings.
Changing environment from a manmade world of hard materials and straight lines, out into nature, can free up your thinking, helping you to find fresh answers to puzzling problems, says Julia.
Find pleasure
Work shouldnt be a horrific slog. Find moments for pleasure.
Work can be empowering and fun, notes Julia. Find something delightful, like cream in your coffee or a piece of cake, especially when a task is difficult, a colleague criticises you or a deadline tightens find pleasure.
Move your body
Julia suggests: Stretch, dance, walk or go to the gym. Wriggle your face, hands or feet.
This is particularly important if your work involves sitting in a fixed position for hours. The body is evolved for movement our ancestors walked for many hours a day and we arent designed to sit still.
Movement frees your fixed pattern of posture, enabling you to access not just your head, but the physical intelligence of your whole body.
Grab a tea, have a chat, or pop outside (Picture: Getty/Metro.co.uk)
Release physical tension
Take a moment to check in with your body. Are your shoulders up by your ears? Are you clenching your jaw?
Shake it out.
Slowly raise your shoulders up (do not hold your breath) as high as you can, squeezing tight, Julia recommends. Then, in one go release the tension and take some big breaths. Move, wriggle or stretch
Remove your eyes from the screen and stare into space for a few minutes every hour.
Try stretching legs and arms out as if you are pushing something away. This will help you feel energized.
Remember that pausing is good for you and your work
Let go of that guilt that pops up when you feel like youre not working. Remind yourself that breaks are essential, and make you better at whatever youre doing.
Pausing often helps you reclaim the essence of yourself, amongst all the tasks to be done, says Julia.
After pausing, you return to your work refreshed, with renewed concentration. You will produce better work, creating better dialogue and relationships with colleagues and customers.
You are not a machine but a sensitive feeling human.
The way you work best is irregularly. Allowing pauses is the most productive way you can work.",Reframe,other,,,,
Early Bird & Eight Certifications! RESO Weekly 5/18/21,"RESO is currently hiring for two positions:
Product Managerand
Membership Manager
The
Product Managerensures the progression of product planning and execution throughout the product life cycle, including: gathering and prioritizing customer requirements, aligning with the strategic plan and product vision of engineering and executive staff, setting and meeting product development timelines, and customer support to ensure satisfaction goals are met. The Product Manager will report to RESOs CEO and ensure that products support the companys overall strategy and goals.
The
Membership Manageris responsible for coordinating logistics and details in membership and events as needed to support the organizations strategic plan. The Membership Manager will report directly to the Chief Operating Officer.
Join us in leading real estate technology forward. |
RESO CAREERS
The RESO staff team exemplifies excellence in teamwork. We share successes and challenges, working together in a fast-paced and ever-changing environment. RESO is a fully remote, nonprofit trade organization that provides the foundation for streamlined real estate technology through the creation and certification of standards.

Cross-Platform Interoperability Workgroup |
May 11, 2021
The group took a deep dive into Transaction Management, taking a step back from what was submitted to the Data Dictionary Workgroup to determine what more the group could do to forward sound proposals based on workflows and data flow diagrams. The group is starting to believe that an independent Transaction Management resource may be needed rather than a payload of Property and Member data. |
UPI Registry Subgroup |
May 12, 2021
The group received a presentation from Mark Lesswing, the Distributed Ledger Workgroup Chair, on a UPI Resolver Proof of Concept. From the presentation, a discussion on approaches to scoring ensued, followed by a review of the feedback received on the existing API working spec. Date and Category are UPI components that will be worked on and discussed at the next meeting. |
ULI Subgroup |
May 12, 2021
The group continued its work on the ULI pilot, scoring and defining the proof of concept after confirming support for the methodology and direction outlined in previous meetings. ULI Subgroup members will create a lightweight user interface (UI) so that pilot participants can check their member data against the pilots matching accuracy. There is additional work to do in refining the elevator pitch, pilot data agreements and integration with existing membership processes. |",CARE SOUTH,other,,,,
The Lifetime Discount Club,"Charter Buyer Club
What is the Charter Buyer Club?
The Charter Buyer Club is our exclusive program that allows you to enjoy an increasing lifetime discount simply by placing orders! The idea is simple - for each purchase you make, you graduate to a higher level of discounting:
1st Order - Standard, Full Price (or save 20% by subscribing to our email list in the footer of the website!)
2nd Order - Bronze Level: get a 10% discount
3rd Order - Silver Level: get a 15% discount
4th Order & Beyond - Gold Level: get a 20% discount for life!
If you're interested in the program - don't wait! While the discounts may apply for life, acceptance into the program is for a limited time only!
To become a member, all you need to do is register for an accounton our website and place orders. Our system automatically keeps track of the orders you've placed and applies the appropriate discount as you shop. There are no upfront costs or ongoing fees - only savings!
How do I join and claim my discount?
Participating in the program is easy and it largely depends on what stage you are at as a client:
If you've never ordered before: you can create your account before placing an order OR during the ordering process at checkout and you'll be enrolled in the club and receive discounts on your future orders. You'll receive an email notification each time you graduate to the next level.
If you've placed orders as a guest before, but don't have an account: all you need to do is to create an account before you place your next order. Be sure to register using the same email address and your previous orders will automatically be synced to your account. You'll be assigned the correct Charter Buyer Club level within 10 minutes after you register. You'll receive an email once the process is complete.
If you're a current customer with an account: simply log in to your account when you shop! Your discount applies to standard orders and subscription orders. Your customer level will automatically increase when each qualifying order is shipped. When this happens, your account will reflect your new pricing and you'll be able to claim it on your next order.
Once you're in the club, you'll see the appropriate pricing for your discount applied across products as well as a notification in your account and product pages:
How long does my membership last?
For life! Keep your account for as long as you'd like and continue to enjoy ongoing savings on every purchase. What's more, is the Club discount stacks with our referral program - so you can unlock even more savings by referring your friends and family
Ready to join? Head over to our shop pageand place your first order!
Become a CBD Expert!
Subscribe to receive our free guide which will empower you to identify effective, fairly priced CBD products and brands. As a bonus we will include a 20% off coupon code for use on your first order!
CBD for Life!
At Big Sky Botanicals we produce a complete line of fairly priced THC-free, broad-spectrum CBD products derived from hemp. We back our products with a wealth of educational resources and top-notch customer service.
Connect",Big Sky Botanicals,other,,,,
SPECIAL REPORT-The ex-Pfizer scientist who became an anti-vax hero,"|
Updated: 18-03-2021 16:32 IST | Created: 18-03-2021 16:32 IST
Late last year, a semi-retired Britishscientist co-authored a petition to Europe's medicines regulator. The petitioners made a bold demand: Halt COVID-19 vaccine clinical trials.
Even bolder was their argument for doing so: They speculated, without providing evidence, that the vaccines could cause infertility in women. The document appeared on a Germanwebsite on Dec.1. Scientists denounced the theory. Regulators weren't swayed, either: Weeks later, the EuropeanMedicines Agency approved the EuropeanUnion's first COVID-19 shot, co-developed by PfizerInc. But damage was already done.
Advertisement
Social media quickly spread exaggerated claims that COVID-19 jabs cause female infertility. Within weeks, doctors and nurses in Britainbegan reporting that concerned women were asking them whether it was true, according to the Royal College of Obstetricians & Gynaecologists. In January, a survey by the Kaiser Family Foundation (KFF), a non-profit organization, found that 13% of unvaccinated people in the UnitedStates had heard that ""COVID-19 vaccines have been shown to cause infertility."" What gave the debunked claim credibility was that one of the petition's co-authors, Michael Yeadon, wasn't just any scientist. The 60-year-old is a former vice president of Pfizer where he spent 16 years as an allergy and respiratory researcher. He later co-founded a biotech firm that the Swissdrugmaker Novartispurchased for at least $325 million.
In recent months, Yeadon (pronounced Yee-don) has emerged as an unlikely hero of the so-called anti-vaxxers, whose adherents question the safety of many vaccines, including for the coronavirus. The anti-vaxxer movement has amplified Yeadon's skeptical views about COVID-19 vaccines and tests, government-mandated lockdowns and the arc of the pandemic. Yeadon has said he personally doesn't oppose the use of all vaccines. But many health experts and government officials worry that opinions like his fuel vaccine hesitancy  a reluctance or refusal to be vaccinated  that could prolong the pandemic. COVID-19 has already killed more than 2.6 million people worldwide. ""These claims are false, dangerous and deeply irresponsible,"" said a spokesman for Britain's Department of Health & Social Care, when asked about Yeadon's views. ""COVID-19 vaccines are the best way to protect people from coronavirus and will save thousands of lives.""
Recent reports of blood clots and abnormal bleeding in a small number of recipients of AstraZeneca's COVID-19 vaccine have cast doubt on that shot's safety, leading several Europeancountries to suspend its use. The developments are likely to fuel vaccine hesitancy further, although there is no evidence of a causative link between the AstraZenecaproduct and the affected patients' conditions. Yeadon didn't respond to requests for comment for this article. In reporting this story, Reuters reviewed thousands of his tweets over the past two years, along with other writings and statements. It also interviewed five people who know him, including four of his former colleagues at Pfizer.
A Pfizerspokesman declined to comment on Yeadon and his stint with the company, beyond emphasizing that there is no evidence that its vaccine, which it developed with its Germanpartner BioNTech causes infertility in women. References to Yeadon's petition appear on the website of a group founded by influential vaccine skeptic Robert F. Kennedy Jr., scion of the Americanpolitical dynasty, who recently was banned on Instagrambecause of his COVID-19 vaccine posts. Syndicated writer and vaccine skeptic Michelle Malkin reported Yeadon's concern about fertility in a column last month under the headline, ""Pregnant Women: Beware of COVID Shots."" And a blog with an alarmist headline  ""Head of PfizerResearch: Covid vaccine is female sterilization""  was shared thousands of times on Facebook.
The visage and views of Yeadon, widely identified as an ""Ex-VP of Pfizer,"" can be seen on social media in languages including German Portuguese Danishand Czech. A Facebookpost carries a video from November in which Yeadon claimed that the pandemic ""fundamentally is over."" The post has been viewed more than a million times. In October, Yeadon wrote a column for the UnitedKingdom's Daily Mailnewspaper that also appeared on MailOnline one of the world's most-visited news websites. It declared that deaths caused by COVID-19, which then totaled about 45,000 in Britain will soon ""fizzle out"" and Britons""should immediately be allowed to resume normal life."" Since then, the disease has killed about another 80,000 people in the UK.
Yeadon isn't the only respected scientist to have challenged the scientific consensus on COVID-19 and expressed controversial views. Michael Levitt, a winner of the Nobel Prizefor chemistry, told the Stanford Daily last summer that he expected the pandemic would end in the UnitedStates in 2020 and kill no more than 175,000 Americans a third of the current total  and ""when we come to look back, we're going to say that wasn't such a terrible disease."" And Luc Montagnier, another Nobel Prizewinner, said last year that he believed the coronavirus was created in a Chineselab. Many experts doubt that, but so far there is no way to prove or disprove it.
Levitt told Reuters that his projections about the pandemic in the UnitedStates were wrong, but he still believes COVID-19 eventually won't be seen as ""a terrible disease"" and that lockdowns ""caused a great deal of collateral damage and may not have been needed."" Montagnier didn't respond to a request for comment. What gives Yeadon particular credibility is the fact that he worked at Pfizer says Imran Ahmed chief executive of the Center for Countering Digital Hate, an organization that combats online misinformation. ""Yeadon's background gives his dangerous and harmful messages false credibility.""
In a debate last fall in Britain's House of Commonsabout the government's response to the pandemic, parliamentarian Richard Drax called Yeadon an ""eminent"" scientist, and cited his view ""that the virus is both manageable and nearing its end."" Drax didn't respond to a request for comment. More recently, David Kurten, a member of the London Assembly  an elected body  tweeted there is a ""real danger"" that COVID-19 vaccines could leave women infertile. ""The 'cure' must not be worse than the 'disease',"" Kurten wrote. He, too, didn't respond to a request for comment.
Why Yeadon transformed from mainstream scientist to COVID-19 vaccine skeptic remains a mystery. Thousands of his tweets stretching back to the start of the pandemic document a dramatic shift in his views  early on, he supported a vaccine strategy. But they offer few clues to explain his radical turnabout. Some former colleagues at Pfizersay they no longer recognize the MikeYeadon they once knew. They described him as a knowledgeable and intelligent man who always insisted on seeing evidence and generally avoided publicity.
One of those ex-colleague",HERO Health,other,,,,
Maserati Launches New Fuoriserie Customization Program in North America for 2022MY Cars,"3 Feb 2022, 08:52 UTC by
Through its new Fuoriserie customization program, Maserati is inviting its customers to tailor their vehicles so that they match their unique personality. The program is available in North America for model year 2022 cars.
7 photos
As part of the Fuoriserie program, which by the way means custom-built in Italian, the carmaker will work alongside the customer to determine the latters core values and what drives them, whether its innovation, performance or a particular type of aesthetic.
In order to showcase what they can do, Maseraticreated three Fuoriserie vehicles for the flagship 580 hp Trofeo Collection in the U.S. and Canada. First, we have the Levante Trofeo, which is showcased here in Orange Zest Metallic with 22-inch staggered Orione wheels and gloss black calipers. Inside, it comes with pieno fiore black leather, living coral contrast stitching and gloss carbon fiber trim.
For the Quattroporte Trofeo, the Fuoriserie program produced a Verde Royale Metallic paint to go with 21-inch dark orione wheels and gloss black calipers. The interior boasts sports seats in exclusive Zegna Pelletessuta (thin strips of leather woven like fabric) with gloss carbon macro twill trim.
As for the Ghibli Trofeo this particular one is painted in Blu Maserati with a historic Birdcage livery, plus 21-inch dark orione wheels and anodized red calipers. Inside, the sports seats are upholstered in exclusive black and grey Zegna Pelletessuta leather with gloss carbon macro twill trim.
Maseratis Fuoriserie customization program features three bespoke collections meant to inspire and guide customers Corse, Unica and Futura. The first is dedicated to those who want to pay tribute to the brands history and its racing heritage, focusing on performance.
Unica meanwhile is targeting buyers who prefer to live in the present and appreciate contemporary styling and fashion. As for the Futura collection, as the name suggests, its for so-called futurists, who embrace and encourage change, while projecting an appreciation for technology and new materials.
You can take thissurvey to find out which Fuoriserie collection matches your personality.",Futura,other,,,,
Progressive' Health Care Advocate Joins South Carolina Democratic Gubernatorial Field,"in the race for state superintendent of education. Also, 2022 is shaping upas a GOP wave election  meaning Democrats will face longer odds than usual.
Does the party have a path to victory in such a climate? In a word, 
no
.
Still, Votours candidacy is interesting (and worth covering) for several reasons  most notably his potential to drive the Democratic debate further to the left on several hot-button issues.
At the top of Votours campaign agenda? Covid-19 vaccinations for all South Carolina adults and children  along with a massive expansion of government-subsidized health care in the Palmetto State.
Votour bills himselfas a candidate who embraces science and speaks out on the importance of vaccinations, staking himself out squarely on an issue which has been dominating headlinesfor weeks.
(Click to view)
(Via: Facebook)
Votour (above) is Wilford Brimley look-alike who originally hails from Norfolk, Virginia. In addition to his pro-vaccine stance, he has been exceedingly vocal in his support of a living wage for citizens of the Palmetto State.
With no living wage the poorest of us work several jobs just to make ends meet, Votour
recently. For ALL to prosper, we need a living wage.
Votour has also staked himself out on the issue of global warming
As governor, Ill do everything I can to offset global warming, he tweetedearlier this week. Tax incentives for solar and wind generators, commuter options like light rail between cities, reducing subsidies for fossil fuels  all on the table.
Votour has also promisedto get the state invested in minority owned solar and wind energy startups.
Again, I do not expect Votours progressive candidacy to evolve into anything resembling a credible bid for South Carolinas top executive post. The 2022 election is Republican governor
Henry McMaster
s to lose  something progressives should probably be okay with, if Im being completely honest Also, as regular readers are aware, the real power in the Palmetto State has always resided with the legislature. Governors have the power of the bully pulpit and authority over a handful of executive branch appointments  but beyond that they are constitutionally neutered.
Still, Votours campaign is worth watching in the event he is able to continue articulating and delivering his progressive agenda to liberal audiences in the Palmetto State  which would force the two Democratic frontrunners to run further to the left than they planned (well one of them anyway).
*****",CARE SOUTH,other,,,,
Bonsoni Mobel Oak Large 3 Drawer Bookcase by Baumhaus,"Excellent customer service and excellent products!
Highly Recommended!
This is the first time I used them. But I know Bonsoni for quite sometime and few people recommended them. Would definitely use again
Good value for money
We bought an Oak side table for my elderly mother-in-law, she finds it very useful and attractive. It was delivered very quickly and was easy to assemble. There was a slight scratch on it when we got it, but not worth making a fuss about - it'll get more in use
Great service and the product!
Third time I have bought from them. Very pleased with the products. Look good and easy to put together.
Just what I was looking for
Great service item exactly as advertised
Fantastic quality product
We waited nearly three weeks for the product to arrive, it was well worth the wait. Good quality, could not believe how well it was made and packaged. Delighted with the purchase.
Unique piece of furniture!
The chest of drawer was even more beautiful than on the website. It arrived at least 4 days before I expected it. The delivery was brilliant and the product was extremely well protected.
Love it!
Amazing been looking for a long time. Don't think twice buy it
Great customer service fab product!
I'm really pleased with the bed I received, good quality fabulous colour & very good value. Customer services were very helpful & friendly. Would definitely recommend.
Excellent desk, good quality and very easy assembly
Really like the desk which fits very neatly into a small space but large enough for a laptop and printer. I can't fault the service I received.
Love my tables!
From choosing what I wanted on the website to ordering and then delivery, everything was easy. My nest of tables are lovely and were very easy to assemble and I am so pleased with the end result. I will be back for more!
Good site smooth sales process
Excellent service, the best communication ive had from a company and speedy delivery.Will buy again without hesitation. Thanks very much! :)
First time using them, would use them again
At first he",Baumhaus,other,,,,
Queen Latifah Brings Awareness To Lung Disease Her Mother Had In New Doc,"about 200
) that cause scarring, or fibrosis, of the lungs. The scarring can make it hard to breathe, and the damage usually isnt reversible, causing it to get worse over time. In the U.S., idiopathic pulmonary fibrosis has been found to be the most prevalent ILD.
I had a talk show at the time. And from the moment we talked about this, all of these people who were in my audience every day, or every few days, started to come up to me after the show and say, Hey, my mom has this. Or show me their hands. Or to tell me that they were experiencing things. And it was just like, wow, she recalls.
Thats why it was important for the Emmy winner to use her platform to provide support to those dealing with ILD and family members attempting to support those with it.
Mother and daughter spoke up together, doing so until Owens passed from scleroderma in 2018. In the years since, the actress has worked on a documentary for A&E,
Beyond Breathless
, in partnership with pharmaceutical company Boehringer Ingelheim, to provide awareness. People of all ages open up about being diagnosed with diseases that led to ILD, or losing loved ones to it and how theyve coped. Its an eye-opener for those who may have never even heard of ILD, which does impact more African Americansthan we know.
[The documentary] is not a long one, but its an important one. And its ahead of Rare Disease Day and a lot of things dont get attention and they deserve this attention, because a lot of people, a lot more people suffer with these diseases than people are aware of, she says. So if [people] get a peek at it, then they can go to lungsandyou.organd get more information or reach out to their doctors. But at least therell be some more awareness about it.
Of the many voices in the film, including former MLB star Bernie Williams who narrarates, Latifah, her family and those who cared for her mom get to speak about Owens and their experience being of support to her mom as caregivers  as well as support to one another.
My cousin, Tina was part of it. My sister, Raven was part of it. My best friend, Tammy, and her nurse. And sometimes it would be good because I could just come over and be her daughter, not her caregiver. And then sometimes her niece, Tina could come over and just be her niece and I could be the caregiver. So there were ways that we learned over the years how we could just be family members and just make life as normal as possible, she says.
And while Latifah is a part of the project, she gladly takes a backseat to allow other families to share their story, to ensure that shes doing the work that her mother wanted.
This is not about me. This has nothing to do with Queen Latifah. This is about Rita L. Owens, she says. This is about Ritas story. And Ritas story is many peoples story. So for her to want to share that, it meant a lot to me, it means a lot to me to continue to do the best that I can to make people aware of it and to let them know theyre not alone.
You can view Beyond Breathless below on YouTube and visit lungsandyou.comfor more information on interstitial lung disease.
TOPICS:",Lung Biotechnology,other,,,,
